final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
Canada Border Services Agency,Quebec (excluding the National Capital Region),All official languages,MAN_45BG_e,No,26,62.1137,1,19
Canada Border Services Agency,Quebec (excluding the National Capital Region),French,MAN_45BD_e,No,20,48.4157,1,19
Canada Border Services Agency,Quebec (excluding the National Capital Region),French,MAN_45BG_e,No,20,48.4157,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_35A_e,No,28,56.8326,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_40BG_e,No,15,31.1082,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_45BD_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_45BG_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_45BH_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_45BI_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,All official languages,MAN_55C_e,None,21,43.1361,1,20
Canada Economic Development for Québec Regions,All regions,French,ALL_25_e,No,135,283.5789,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_35A_e,No,27,54.3126,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_40BG_e,No,14,28.5882,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_45BD_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_45BG_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_45BH_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_45BI_e,No,12,23.1017,1,19
Canada Economic Development for Québec Regions,All regions,French,MAN_55C_e,None,20,40.6161,1,20
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,ALL_25_e,No,135,285.944,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_35A_e,No,27,55.1326,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_40BG_e,No,14,29.4082,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_45BD_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_45BG_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_45BH_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_45BI_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),All official languages,MAN_55C_e,None,20,41.4361,1,20
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,ALL_25_e,No,126,264.9871,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_35A_e,No,26,52.6126,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_40BG_e,No,13,26.8882,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_45BD_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_45BG_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_45BH_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_45BI_e,No,11,21.4017,1,19
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_55C_e,None,19,38.9161,1,20
Canada School of Public Service,All regions,All official languages,MAN_10B_e,Yes,15,47.6934,1,18
Canada School of Public Service,All regions,All official languages,MAN_45BG_e,No,30,76.9519,1,19
Canada School of Public Service,All regions,All official languages,MAN_45BH_e,No,30,76.9519,1,19
Canada School of Public Service,All regions,All official languages,MAN_55C_e,None,47,117.147,1,20
Canada School of Public Service,All regions,English,MAN_50A_e,No,16,40.2656,1,19
Canada School of Public Service,All regions,English,MAN_50F_e,Yes,18,46.0292,1,18
Canada School of Public Service,All regions,English,MAN_55C_e,None,15,38.2656,1,20
Canada School of Public Service,All regions,French,MAN_10B_e,Yes,10,32.5233,1,18
Canada School of Public Service,All regions,French,MAN_45BG_e,No,24,62.0458,1,19
Canada School of Public Service,All regions,French,MAN_45BH_e,No,24,62.0458,1,19
Canada School of Public Service,All regions,French,MAN_50H_e,Yes,42,102.65,1,18
Canada School of Public Service,All regions,French,MAN_50J_e,No,23,54.0146,1,19
Canada School of Public Service,All regions,French,MAN_55C_e,None,32,78.8814,1,20
Canada School of Public Service,National Capital Region,All official languages,MAN_10B_e,Yes,13,41.9298,1,18
Canada School of Public Service,National Capital Region,All official languages,MAN_45BG_e,No,26,67.0676,1,19
Canada School of Public Service,National Capital Region,All official languages,MAN_45BH_e,No,26,67.0676,1,19
Canada School of Public Service,National Capital Region,All official languages,MAN_55C_e,None,40,101.142,1,20
Canada School of Public Service,National Capital Region,English,MAN_50A_e,No,12,31.9035,1,19
Canada School of Public Service,National Capital Region,English,MAN_50F_e,Yes,13,35.5464,1,18
Canada School of Public Service,National Capital Region,English,MAN_55C_e,None,11,29.9035,1,20
Canada School of Public Service,National Capital Region,French,ALL_25_e,No,153,337.3578,1,19
